English Term,Tamil Term,Explanation
access cross domain solution,அணுகல் குறுக்கு கள தீர்வு,"அணுகல் குறுக்கு கள தீர்வு என்பது ஒரு செயல்முறை அல்லது தொழில்நுட்பம் ஆகும், இது பல்வேறு இணைய பாதுகாப்பு களங்கள் அல்லது நெட்வொக்குகளுக்கு இடையில் தகவல் பரிமாற்றத்தை அனுமதிக்கிறது.இது தனிப்பட்ட மற்றும் தனிப்பட்டற்ற கணினி செயல்பாடுகளுக்கு இடையே தகவல் பரிமாற்றத்தைச் செயல்படுத்துவதற்கான ஒரு நெகிழ்வான மற்றும் பாதுகாப்பான வழியை வழங்குகிறது."
Access Management,அணுகல் மேலாண்மை,"அணுகல் மேலாண்மை என்பது ஒரு கணினி அமைப்பின் வளங்களையும் செயல்பாடுகளையும் யார், எப்போது, எவ்வாறு அணுகலாம் என்பதை கட்டுப்படுத்தும் செயல்முறையாகும்."
Access Point Name,அணுகல் புள்ளி பெயர்,அணுகல் புள்ளி பெயர் என்பது மொபைல் சாதனங்களில் இணையத்தில் இணைக்க உதவும் அடையாளமாகும். இது ஒரு வழிசெலுத்தி அல்லது இணைய சேவை வழங்குனர் பயன்படுத்தப்படுகிறது.
access profile,அணுகல் சுயவிவரம்,"அணுகல் சுயவிவரம் என்பது ஒரு கணினி அமைப்பில் ஒரு பயனர் அல்லது குழுவின் அணுகல் உரிமைகள் மற்றும் அனுமதிகளை வரையறுக்கும் ஒரு கோப்பாகும். இது பயனர்களின் அணுகலை கட்டுப்படுத்தவும், அமைப்பின் பாதுகாப்பை உறுதிப்படுத்தவும் பயன்படுகிறது."
Access Rights Management,அணுகல் உரிமைகள் மேலாண்மை,அணுகல் உரிமைகள் மேலாண்மை என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பில் உள்ள தகவல்கள் மற்றும் வளங்களை அணுகுவதற்கு ஒரு பயனருக்கு எதிர்பார்க்கப்படும் அதிகாரங்கள் மற்றும் உரிமைகளை நிர்வகிக்கும் செயல்முறையாகும். இது தகவல் பாதுகாப்பை உறுதி செய்வதில் முக்கிய பங்கு வகிக்கிறது.
active attack,செயல்நிலை   தாக்குதல்,செயல்நிலை   தாக்குதல் என்பது அவசரமாக அல்லது நேரடியாக ஒரு கணினி பாதிப்பையோ அல்லது பிணையத்தையோ தாக்குவதற்காக செயல்படுத்தப்படும் ஒரு வகை இணைய தாக்குதல் ஆகும். இது பொதுவாக பயனரின் தகவலை திருடுதல் அல்லது கணினி அமைப்பை சேதப்படுத்துவதற்காக செய்யப்படுகிறது.
active cyber defense,செயல்நிலை   உள்ள இணைய பாதுகாப்பு,"செயல்நிலை   உள்ள இணைய பாதுகாப்பு என்பது ஒரு கணினி அமைப்பை செயல்படும் போதே செயல்படும் பாதுகாப்பு செயல்கள் . இது தாக்குதல்களை தடுக்கவும், அமைப்பை சேதப்படுத்தும் செயல்களை தடுக்கவும் உதவுகிறது."
Active Directory,செயல்நிலை   உள்ள அடைவு,"செயல்நிலை   உள்ள கோப்பகம் என்பது ஒரு நெட்வொர்க்கில் உள்ள கணினிகள், பயனர்கள் மற்றும் வளங்களை நிர்வகிக்க உதவும் ஒரு மையப்படுத்தப்பட்டமுறைமை ஆகும். இது பயனர்களின் அடையாளத்தை உறுதிப்படுத்தவும், அவர்களுக்குரிய அனுமதிகளை வழங்கவும் பயன்படுத்தப்படுகிறது."
Active Directory Authentication Library,செயல்நிலை   உள்ள கோப்பகம் அங்கீகாரம் நூலகம்,"செயல்நிலை   உள்ள கோப்பகம் அங்கீகாரம் நூலகம் என்பது ஒரு நிறுவனத்தில் உள்ள எல்லா பயனர்களின் கணக்குகளையும், கணினிகளையும் ஒரு மையப்படுத்தப்பட்ட கட்டமைப்புக்குள் ஒழுங்குபடுத்தி, அவற்றின் அங்கீகாரத்தை நிர்வகிக்கும் மென்பொருள் நூலகமாகும். இது பயனர்களுக்கு பாதுகாப்பான சேவைகளை வழங்கவும், அவர்களின் அடையாளத்தை உறுதிப்படுத்தவும் பயன்படுகிறது."
Active Directory Certificate Services,செயல்நிலை   உள்ள கோப்பகம் சான்றிதழ் சேவைகள்,"செயல்நிலை   உள்ள கோப்பகம் சான்றிதழ் சேவைகள் என்பது ஒரு நம்பகமான மற்றும் பாதுகாப்பான இணைய தளத்தை உருவாக்குவதற்கு உதவும் ஒரு சேவையாகும். இது பயனர்கள், கணினிகள் மற்றும் சாதனங்கள் உள்ளிட்ட நெட்வொர்க் மற்றும் பயனர்களை அங்கீகரிப்பதற்கும், அணுகல் கட்டுப்பாடு மற்றும் தகவல் மேலாண்மை போன்றவற்றிற்கு பயன்படுத்தப்படுகிறது."
Active Directory Federation Services,செயல்நிலை   உள்ள கோப்பகம் கூட்டமைப்பு சேவைகள்,செயல்நிலை   உள்ள கோப்பகம் கூட்டமைப்பு சேவைகள் என்பது ஒரு நிறுவனத்தில் உள்ள பல்வேறு கணினிமுறைமை  களை இணைக்கும் ஒரு தொழில்நுட்பம் ஆகும். இது பயனர்கள் ஒரே முறை உள்நுழைவு (ஒரு குறியாக்கப் பெயரையும் கடவுச்சொல்லையும் பயன்படுத்தி) செய்த பின்னர் ஒருங்கிணைக்கப்பட்ட சேவைகள் மற்றும் வளங்களை அணுக அனுமதிக்கிறது.
Active Directory Forest Recovery,செயல்நிலை   உள்ள கோப்பகம் வன மீட்பு,"செயல்நிலை   உள்ள கோப்பகம் வன மீட்பு என்பது தகவல் தொழில்நுட்ப நிறுவனங்களின் நெட்வொர்க் மேலாண்மை மற்றும் பாதுகாப்புக்காக ஒரு முக்கிய செயல்முறையாகும். கோப்பகம் வன செயலிழந்து போகும் போது, பல பயனர் கணக்குகள், கோப்புகள், மற்றும் பிற முக்கிய தரவுகள் அணுகமுடியாமல் போகும், எனவே இந்த செயல்முறை மூலம் நிறுவனங்கள் தங்கள் தரவுகளை பாதுகாக்க முடியும்."
Active Directory Services,செயல்நிலை   உள்ள கோப்பகம் சேவைகள்,"செயல்நிலை   உள்ள கோப்பகம் சேவைகள் என்பது ஒரு நடுத்தர அளவிலான முதல் பெரிய அளவிலான நிறுவனம் அல்லது நிறுவனங்களின் பயனர்கள், குழுக்கள் மற்றும் கணினிகள் ஆகியவற்றை ஒருங்கிணைக்க உதவும் ஒரு உள் கட்டமைப்பாகும். இது பயனர்கள் அனுமதியின்றி தகவல்களை அணுகுவதை தடுக்க பாதுகாப்புமுறைமை  களை ஏற்படுத்த மற்றும் வழங்குகிறது."
Active Directory/Domain Name System,செயல்நிலை   உள்ள அடைவு/களம் பெயர்முறைமை  ,"செயல்நிலை   உள்ள அடைவு/களம் பெயர்முறைமை என்பது ஒரு நெட்வொர்க்கில் உள்ள கணினிகள், பயனர்கள் மற்றும் பயன்பாடுகளை மேலாண்மை செய்ய உதவும் ஒரு அமைப்பாகும். இது நெட்வொர்க்கில் உள்ள பயனர்கள் மற்றும் கணினிகளின் அடையாளத்தை சரிபார்க்க பயன்படுத்தப்படுகிறது."
Active Security Testing,செயல்நிலை   பாதுகாப்பு சோதனை,"செயல்நிலை   பாதுகாப்பு சோதனை என்பது ஒரு கணினி அமைப்பின் பாதுகாப்பை சோதிக்கும் ஒரு முறையாகும், இதில் அமைப்பை தாக்கும் ஒரு பாத்திரம் வகிக்கப்படுகிறது."
Adaptive Security Appliance,இணைப்பு பாதுகாப்பு கருவி ,"இணைப்பு பாதுகாப்பு கருவி  என்பது ஒரு நெட்வொர்க் பாதுகாப்பை வழங்கும் ஒரு சாதனம் ஆகும், இது தொடர்ந்து மாறிவரும் அச்சுறுத்தல்களைக் கண்டறிந்து தன்னைத்தானே மேம்படுத்துகிறது."
Additional Authenticated Data,கூடுதல் அங்கீகரிக்கப்பட்ட தரவு,"கூடுதல் அங்கீகரிக்கப்பட்ட தரவு என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பில், குறிப்பிட்ட தரவுகள் அல்லது தகவல்களின் அங்கீகரிக்கப்பட்ட  தன்மையை உறுதிப்படுத்த பயன்படும் ஒரு பாதுகாப்பு கூறு ஆகும். இது, குறிப்பாக தரவு அனுப்பும் போது அல்லது சேமிக்கும் போது கூடுதல் பாதுகாப்பு தருகிறது."
add-on security,கூடுதல் பாதுகாப்பு,கூடுதல் பாதுகாப்பு என்பது ஒரு கணினிமுறைமை அல்லது நெட்வொர்க்கின் பாதுகாப்பை மேம்படுத்துவதற்காக அதன் அடிப்படை பாதுகாப்புமுறைமை  களுக்கு அதிகப்படியான பாதுகாப்புமுறைமை  களை சேர்ப்பது ஆகும்.
Address Space Layout Randomization,முகவரி இடஅமைப்பு சீரமைக்கப்பட்ட ,"முகவரி இடஅமைப்பு சீரமைக்கப்பட்ட  என்பது ஒரு கணினி பாதுகாப்பு நுட்பமாகும், இது நிரல்களின் மின்னணு முகவரிகளை அமைக்கும் முறையை மாற்றியமைக்கிறது, பழுதுகளைப் பயன்படுத்தும் துவாரங்களைக் கண்டறிய ஹேக்கர்களுக்கு சிரமத்தை ஏற்படுத்துகிறது."
adequate security,போதுமான பாதுகாப்பு,போதுமான பாதுகாப்பு என்பது ஒரு அமைப்பின் அல்லது தரவின் மீதான சாத்தியமான தாக்குதல்களை எதிர்கொள்ளும் வகையில் அதன் பாதுகாப்பு செயல்கள்  மற்றும் ஏற்பாடுகள் முறையாக அமைந்திருக்கும் நிலையாகும். இது வெற்று பாதுகாப்பு காட்டிலும் அதிக பாதுகாப்பு செய்ய தேவையான அளவைக் குறிக்கிறது.
advanced cyber threat,மேம்பட்ட இணைய அச்சுறுத்தல்,மேம்பட்ட இணைய அச்சுறுத்தல் என்பது ஒரு நவீன மற்றும் மிகவும் ஆபத்தான குற்றக் குழுவினால் செய்யப்படும் இணையத் தாக்குதல் ஆகும். இதில் பல தொழில்நுட்பங்கள் பயன்படுத்தப்பட்டு பாதுகாப்புமுறைமை  களை தாக்கி தகவல்களை திருடுவதற்காக செய்யப்படுகிறது.
Advanced Encryption Standard,மேம்பட்ட குறியாக்கத் தரநிலை,மேம்பட்ட குறியாக்கத் தரநிலை (AES) என்பது இணைய பாதுகாப்பிற்காக பயன்படுத்தப்படும் ஒரு மிகவும் பாதுகாப்பான குறியாக்க முறையாகும். இது தரவுகளை பாதுகாப்பாக பரிமாற்றம் செய்வதற்கும் சேமிப்பதற்கும் பயன்படுத்தப்படுகிறது.
Advanced Encryption Standard-Cipher Block Chaining,மேம்பட்ட குறியாக்கம் தரநிலை-மறையீட்டு தொகுதி தொடரமைவு ,"மேம்பட்ட குறியாக்கம் தரநிலை-மறையீட்டு தொகுதி தொடரமைவு  என்பது ஒரு முக்கிய குறியாக்க முறையாகும், இது பாதுகாப்பான தரவு பரிமாற்றத்திற்கு பயன்படுத்தப்படுகிறது. இந்த முறையில், தரவு சிறிய பிளாக்குகளாக பிரிக்கப்பட்டு, ஒவ்வொரு பிளாக்கும் தனித்தனியாக குறியாக்கம் செய்யப்படுகிறது."
Advanced Encryption Standard-Cipher-based Message Authentication Code,மேம்பட்ட குறியாக்கம் தரநிலை மறையீடு  அடிப்படையிலான செய்தி அங்கீகார குறியீடு,"மேம்பட்ட குறியாக்கம் தரநிலை மறையீடு  அடிப்படையிலான செய்தி அங்கீகார குறியீடு என்பது ஒரு கணினி செய்தியின் எண்கணித செய்தி நீளத்தையும், பெறுநரின் அடையாளத்தையும் சேர்த்து செய்தி திருடப்படாமல் அல்லது மாற்றப்படாமல் இருப்பதை உறுதியளிக்க உதவுகிறது."
Advanced Encryption Standard-Counter Mode,மேம்பட்ட குறியாக்க தரநிலை  எதிர் முறை,"மேம்பட்ட குறியாக்க தரநிலை  எதிர் முறை என்பது தரவுகளை பாதுகாப்பாக பரிமாறிக் கொள்ளவும், பரிமாறப்படும் தரவுகளை பாதுகாப்பாக சேமிக்கவும் பயன்படும் ஒரு குறியாக்க நுட்பமாகும். இது வலைத்தளங்களில் பாதுகாப்பான தரவுப் பரிமாற்றத்திற்கு பயன்படுத்தப்படுகிறது."
Advanced Encryption Standard-eXtended Cipher Block Chaining,மேம்பட்ட குறியாக்க தரநிலை-எக்ஸென்ட் செஃபர் பிளாக் சங்கிலி,"மேம்பட்ட குறியாக்க தரநிலை-எக்ஸென்ட் செஃபர் பிளாக் சங்கிலி என்பது ஒரு கணினி பாதுகாப்பு அளவீடாகும், இது தரவுகளை பாதுகாப்பாக சேமிக்க மற்றும் பரிமாற்றம் செய்வதற்கு நீட்டிக்கப்பட்ட பிளாக் சங்கிலி முறையை பயன்படுத்துகிறது. இது தரவுகளை பாதுகாப்பாக சேமிக்க ஒரு தரநிலை  மற்றும் வலுவான குறியாக்க முறையாகும்."
Advanced Encryption Standard-Galois Counter Mode,மேம்பட்ட குறியாக்கம் ஸ்டாண்டர்ட்-கலோயிஸ் கவுண்டர் பயன்முறை,"மேம்பட்ட குறியாக்கம் ஸ்டாண்டர்ட்-கலோயிஸ் கவுண்டர் பயன்முறை என்பது ஒரு மிகவும் பாதுகாப்பான தரவு பாதுகாப்பு முறையாகும், இது வலிமையான குறியாக்க மற்றும் பாதுகாப்பு தரவை பரிமாற்றத்தின் போது பாதுகாக்கப் பயன்படுத்தப்படுகிறது."
Advanced Encryption Standard-Galois Message Authentication Code,மேம்பட்ட குறியாக்கம் தரநிலை-Galois செய்தி அங்கீகார குறியீடு,"மேம்பட்ட குறியாக்கம் தரநிலை-Galois செய்தி அங்கீகார குறியீடு என்பது ஏற்கனவே குறியாக்கப்பட்ட தரவுகளை அங்கீகரிப்பதற்கும், குறியாக்கத்தின் உள்ளடக்கத்தை உறுதிப்படுத்துவதற்கும் பயன்படும் ஒரு பாதுகாப்புத் தொகுப்பு ஆகும்."
Advanced Malware Protection,மேம்பட்ட தீய மென்பொருள்  பாதுகாப்பு,"மேம்பட்ட தீய மென்பொருள்  பாதுகாப்பு என்பது ஒரு கணினி அமைப்பை தீங்கு விளைவிக்கக் கூடிய மேம்பட்ட தீய மென்பொருள் களில் இருந்து பாதுகாக்கும் முறையாகும். இது கணினியில் நவீனமான அச்சுறுத்தல்களைக் கண்டறிந்து, அவற்றைச் சரியாகத் தடுக்கும் வல்லமை படைத்தது."
Advanced Persistent Threats,மேம்பட்ட தரநிலை  அச்சுறுத்தல்கள்,"மேம்பட்ட தரநிலை  அச்சுறுத்தல்கள் என்பது ஒரு உருப்பொருள்  கணினி வலையமைப்புகளில் ஊடுருவி, நீண்ட காலத்திற்கு தகவல்களை சேகரித்து, அப்பரிமாணத்தில் தாக்கமேற்படுத்தும் வன்முறைகளை எடுக்கும் சூழ்ச்சியான இணைய தாக்குதல்கள் ஆகும். இதன் நோக்கம் அதிக மதிப்புடைய தகவல்கள் அல்லது இரகசியங்களை திருடிச் செல்வதாகும்."
Advanced Threat Protection,மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு,"மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு என்பது கூடுதல் பாதுகாப்பு அடுக்குகளை வழங்கும் ஒரு பாதுகாப்பு தொழில்நுட்பம், இது தொற்றுநோய் மற்றும் மோசமான நிரல்கள் போன்ற பழமையான அச்சுறுத்தல்களை தடுத்தல் மட்டுமல்லாமல், தேவைக்கு மிகவும் சிக்கலான மற்றும் நுணுக்கமான தாக்குதல்களையும் கண்டறியும் மற்றும் தடுக்கும்."
Advanced Threat Protection: Network,மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு இணையம்,"மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு இணையம் என்பது வலையமைப்பை மேம்படுத்தப்பட்ட அச்சுறுத்தல்களில் இருந்து காப்பாற்றுவதற்கான ஒரு செயல்முறையாகும், இதில் மறைக்கப்பட்ட அச்சுறுத்தல்கள் மற்றும் மால்வேர்களைக் கண்டறிதல் மற்றும் அகற்றுதல் ஆகியவை அடங்கும்."
adversary,எதிரி,"கணினி தொழில்நுட்ப உலகில், எதிரி என்பவர் ஒரு நிறுவனம் அல்லது ஒரு தனிநபர், மற்றவர்களின் கணினிமுறைமை  கள் அல்லது நெட்வொர்க்குகளை தாக்கவோ அல்லது நாசம் செய்யவோ முயற்சிக்கிறார். இவர்கள் பாதுகாப்புமுறைமை  களை ஊடுருவுவதற்காக பல்வேறு நுட்பங்களைப் பயன்படுத்துகிறார்கள்."
alert,எச்சரிக்கை,"எச்சரிக்கை என்பது கணினியில் அல்லது அதனுடன் இணைக்கப்பட்ட வலைத்தளத்தில், சந்தேகத்திற்கு இடமான அல்லது பாதுகாப்புக்கு ஆபத்தான செயல்பாடு தெரிய வந்தால், அதனை அறிவிக்கும் ஒரு செய்தியாகும்."
Algorithm security lifetime,அல்கோரிதம்  பாதுகாப்பு வாழ்நாள்,அல்கோரிதம்  பாதுகாப்பு வாழ்நாள் என்பது ஒரு குறிப்பிட்ட அல்கோரிதம்  பாதுகாப்பாகக் கருதப்படும் கால அளவைக் குறிக்கிறது. இது பொதுவாக ஒரு அல்போரிதத்தின் பாதுகாப்பை உடைக்கக்கூடிய ஒரு வலிமையான தாக்குதல் கண்டுபிடிக்கப்படும் வரையிலான காலத்தைக் குறிக்கிறது.
Algorithms for Intrusion Measurement,ஊடுருவல் அளவீடுக்கான வழிமுறைகள்,"ஊடுருவல் அளவீடுக்கான வழிமுறைகள் என்பது ஒரு கணினி அமைப்பின் பாதுகாப்பை அளவிடுவதற்கும், சாத்தியமான அச்சுறுத்தல்களை அடையாளம் காண்பதற்கும் பயன்படும் வழிமுறைகளின் தொகுப்பு ஆகும்."
Alternate Data Stream, மாற்று தரவுத் தொகுப்பேடை ,மாற்று தரவுத் தொகுப்பேடை  என்பது ஒரு கணினி கோப்பை உள்ளடக்கிய மறைந்த தரவு மூலத்தைக் குறிக்கிறது. இது பொதுவாக சாதாரண கோப்பு தேடுபொறிகளால் கண்டுபிடிக்கப்படாது.
anomaly,குறியாக்க  ,"இணைய குற்றம் துறையில், குறியாக்க   என்பது சாதாரண வழக்கிலிருந்து மாறுபட்ட, தகவல் பாதுகாப்பில் ஏற்படும் சந்தேகத்திற்கிடமான நிகழ்வு அல்லது தவறுகளை குறிப்பிடுகிறது."
anonymity,பெயர் தெரியாதது,"பெயர் தெரியாதது என்பது ஒரு நபரின் அடையாளத்தை மறைப்பதன் மூலம், இணையத்தில் அவரின் நடவடிக்கைகளை அறியமுடியாத நிலையை உருவாக்குவதாகும். இது குற்றவாளிகளுக்கு தங்கள் சட்டவிரோத நடவடிக்கைகளை சாதகமாக செய்ய உதவுகிறது."
anonymization,அநாமதேயமயமாக்கல்,"அநாமதேயமயமாக்கல் என்பது ஒரு நபரின் அடையாளத்தை, குறிப்பாக அவரது இருப்பிடம், பெயர் போன்ற தனிநபர் தகவல்களை மறைக்கும் செயல்முறையாகும். இது ஒரு நபரின் வரலாறு, உலாவல் போன்ற தகவல்களை இணையத்தில் பகிர்வதைத் தடுக்கும்."
anonymized data,அநாமதேய தரவு,"அநாமதேய தரவு என்பது தனிநபர்களின் அடையாளத்தை மறைப்பதற்காக செய்யப்பட்ட தரவு ஆகும், இதனால் தரவைப் பார்க்கும் போது தனிநபர்களை அடையாளம் காண இயலாது."
Anonymized Information,அநாமதேய தகவல்,"அநாமதேய தகவல் என்பது ஒரு தனிநபரின் அடையாளத்தை மறைக்கப்பட்ட அல்லது மாற்றப்பட்ட தகவல் ஆகும், அதாவது தனிநபரை அடையாளம் காண இயலாது."
anonymous identifier,அநாமதேய அடையாளங்காட்டி,அநாமதேய அடையாளங்காட்டி என்பது ஒரு நபரின் அங்கீகரிக்கப்பட்ட  அடையாளத்தை மறைப்பதற்காக அவர்களை அடையாளம் காண பயன்படுத்தப்படும் ஒரு மாற்று அடையாளமாகும். இது இணையத்தில் ஒருவரின் செயல்பாடுகளை நன்கு அறியாமல் பாதுகாக்க உதவுகிறது.
anticipated re-identification rate,எதிர்பார்க்கப்பட்ட மறு அடையாளம் காணும் விகிதம்,"எதிர்பார்க்கப்பட்ட மறு அடையாளம் காணும் விகிதம் என்பது, தனிநபர்களின் அடையாளத்தை மறுபடியும் கண்டறியும் வாய்ப்பு அல்லது அச்சுறுத்தல் அளவை அளவிடும் ஒரு புள்ளி அளவீடு ஆகும், இது முகமூடி செய்யப்பட்ட அல்லது பெயரற்ற தரவுகளிலிருந்து தனிநபர்களை மீண்டும் அடையாளம் காணக்கூடிய வசதியை குறிக்கிறது."
Anti-Forensic,சட்ட விரோத மருத்துவம்,"சட்ட விரோத மருத்துவம் (இணைய குற்றம்) என்பது சான்றுகளை துன்புறுத்துவதற்கும், தடயங்களை மறைப்பதற்கும், நடந்தவற்றை சீராக்குவதற்கும் சட்ட மற்றும் நிர்ணய அதிகாரிகளிடம் இருந்து துருவல் தொழில்நுட்பங்கள் அல்லது மென்பொருளை தடுக்க பயன்படும் நுட்பங்கள் ஆகும். இது நவீன தொழில்நுட்பக் குறிப்புகளை தழுவி சட்டத்தை மீறுபவர்கள் பயன்படுத்தக்கூடிய முழுமையான செயல்முறை ஆகும்."
anti-spoof,சரக்கு எதிர்ப்பு,சரக்கு எதிர்ப்பு (ஆன்டி-ஸ்பூஃப்) என்பது செயலி அடையாளத்தை போலி செய்து தரவுகளை திருடும் முயற்சிகளைத் தடுக்கும் ஒரு பாதுகாப்பு செயல்முறையாகும். இது போலி மின்னஞ்சல்கள் மற்றும் தீங்கு விளைவிக்கும் மென்பொருள்கள் போன்றவற்றைக் கண்டறிந்து நீக்குகிறது.
anti-tamper,தடய எதிர்ப்பு,"தடய எதிர்ப்பு என்பது ஒரு கணினி அமைப்பில் அல்லது சாதனத்தில் இருக்கும் ஒரு பாதுகாப்புமுறைமை ஆகும், இது அந்தமுறைமை அல்லது சாதனத்தை மாற்றுவது அல்லது திருத்துவதை தடுக்கிறது."
Antivirus,எதிர் நச்சுநிரல் தடுப்பி,"எதிர் நச்சுநிரல் தடுப்பி  என்பது ஒரு வகை கணினி திட்டம் ஆகும், இது கணினிகளை அழிக்கும் அல்லது சேதப்படுத்தும் வைரஸ், வோர்ம், ட்ரோஜன் போன்ற தீங்கு விளைவிக்கும் நிரல்களை அடையாளம் காண்பதற்கும், தடுப்பதற்கும், நீக்குவதற்கும் பயன்படுகிறது."
Antivirus Software,நச்சுநிரல் தடுப்பி மென்பொருள்,நச்சுநிரல் தடுப்பி மென்பொருள் என்பது தீங்கு விளைவிக்கும் மென்பொருட்களைத் தடுத்து கணினியைப் பாதுகாப்பதற்கு உதவும் ஒரு கணினி பாதுகாப்பு மென்பொருள் ஆகும்.
