English Term,Tamil Term,Explanation,english_description
access cross domain solution,அணுகல் குறுக்கு கள தீர்வு,"அணுகல் குறுக்கு கள தீர்வு என்பது ஒரு செயல்முறை அல்லது தொழில்நுட்பம் ஆகும், இது பல்வேறு இணைய பாதுகாப்பு களங்கள் அல்லது நெட்வொக்குகளுக்கு இடையில் தகவல் பரிமாற்றத்தை அனுமதிக்கிறது.இது தனிப்பட்ட மற்றும் தனிப்பட்டற்ற கணினி செயல்பாடுகளுக்கு இடையே தகவல் பரிமாற்றத்தைச் செயல்படுத்துவதற்கான ஒரு நெகிழ்வான மற்றும் பாதுகாப்பான வழியை வழங்குகிறது.",An access cross domain solution is a process or technology that allows the exchange of information between different Internet security domains or networks. It provides a flexible and secure way to implement information exchange between private and non-private computer operations.
access management,அணுகல் மேலாண்மை,"அணுகல் மேலாண்மை என்பது ஒரு கணினி அமைப்பின் வளங்களையும் செயல்பாடுகளையும் யார், எப்போது, எவ்வாறு அணுகலாம் என்பதை கட்டுப்படுத்தும் செயல்முறையாகும்.","Access Management is the process of controlling who, when and how can access the resources and functions of a computer system."
access point name,அணுகல் புள்ளி பெயரமைப்புச்,அணுகல் புள்ளி பெயரமைப்புச் என்பது கைபேசி  சாதனங்களில் இணையத்தில் இணைக்க உதவும் அடையாளமாகும். இது ஒரு வழிசெலுத்தி அல்லது இணைய சேவை வழங்குனர் பயன்படுத்தப்படுகிறது.,Access Point Name is an identifier that helps mobile devices connect to the Internet.It is used by a browser or internet service provider.
access profile,அணுகல் சுயவிவரிப்பு,"அணுகல் சுயவிவரிப்பு என்பது ஒரு கணினி அமைப்பில் ஒரு பயனர் அல்லது குழுவின் அணுகல் உரிமைகள் மற்றும் அனுமதிகளை வரையறுக்கும் ஒரு கோப்பாகும். இது பயனர்களின் அணுகலை கட்டுப்படுத்தவும், அமைப்பின் பாதுகாப்பை உறுதிப்படுத்தவும் பயன்படுகிறது.",An access profile is a file that defines the access rights and permissions of a user or group on a computer system.It is used to control the access of users and ensure the security of the system.
access rights management,அணுகல் உரிமைகள் மேலாண்மை,அணுகல் உரிமைகள் மேலாண்மை என்பது ஒரு கணினிமுறைமை அல்லது இணைய யமைப்பில் உள்ள தகவல்கள் மற்றும் வளங்களை அணுகுவதற்கு ஒரு பயனருக்கு எதிர்பார்க்கப்படும் அதிகாரங்கள் மற்றும் உரிமைகளை நிர்வகிக்கும் செயல்முறையாகும். இது தகவல் பாதுகாப்பை உறுதி செய்வதில் முக்கிய பங்கு வகிக்கிறது.,Access Rights Management is the process of managing the authorities and rights expected of a user to access information and resources in a computer system or network.It plays an important role in ensuring information security.
active attack,செயல்நிலை   தாக்குதல்,செயல்நிலை   தாக்குதல் என்பது அவசரமாக அல்லது நேரடியாக ஒரு கணினி பாதிப்பையோ அல்லது பிணையத்தையோ தாக்குவதற்காக செயல்படுத்தப்படும் ஒரு வகை இணைய தாக்குதல் ஆகும். இது பொதுவாக பயனரின் தகஇணைய  திருடுதல் அல்லது கணினி அமைப்பை சேதப்படுத்துவதற்காக செய்யப்படுகிறது.,An active attack is a type of cyber attack that is implemented to quickly or directly attack a computer vulnerability or network.This is usually done to steal user information or damage the computer system.
active cyber defense,செயல்நிலை   உள்ள இணைய பாதுகாப்பு,"செயல்நிலை   உள்ள இணைய பாதுகாப்பு என்பது ஒரு கணினி அமைப்பை செயல்படும் போதே செயல்படும் பாதுகாப்பு செயல்கள் . இது தாக்குதல்களை தடுக்கவும், அமைப்பை சேதப்படுத்தும் செயல்களை தடுக்கவும் உதவுகிறது.",Active cyber defense is a set of security measures that take place while a computer system is still operational.It helps prevent attacks and actions that can damage the system.
active directory,செயல்நிலை   உள்ள அடைவு,"செயல்நிலை   உள்ள கோப்பகம் என்பது ஒரு வலையமைப்பில்  உள்ள கணினிகள், பயனர்கள் மற்றும் வளங்களை நிர்வகிக்க உதவும் ஒரு மையப்படுத்தப்பட்டமுறைமை ஆகும். இது பயனர்களின் அடையாளத்தை உறுதிப்படுத்தவும், அவர்களுக்குரிய அனுமதிகளை வழங்கவும் பயன்படுத்தப்படுகிறது.","Active Directory is a centralized system that helps manage computers, users, and resources on a network.It is used to confirm the identity of users and grant them appropriate permissions."
active directory authentication library,செயல்நிலை   உள்ள கோப்பகம் அங்கீகாரம் நூலகம்,"செயல்நிலை   உள்ள கோப்பகம் அங்கீகாரம் நூலகம் என்பது ஒரு நிறுவனத்தில் உள்ள எல்லா பயனர்களின் கணக்குகளையும், கணினிகளையும் ஒரு மையப்படுத்தப்பட்ட கட்டமைப்புக்குள் ஒழுங்குபடுத்தி, அவற்றின் அங்கீகாரத்தை நிர்வகிக்கும் மென்பொருள் நூலகமாகும். இது பயனர்களுக்கு பாதுகாப்பான சேவைகளை வழங்கவும், அவர்களின் அடையாளத்தை உறுதிப்படுத்தவும் பயன்படுகிறது.",Active Directory Authentication Library is a software library that organizes all user accounts and computers in an organization into a centralized structure and manages their authentication.It is used to provide secure services to users and to confirm their identity.
active directory certificate services,செயல்நிலை   உள்ள கோப்பகம் சான்றிதழ் சேவைகள்,"செயல்நிலை   உள்ள கோப்பகம் சான்றிதழ் சேவைகள் என்பது ஒரு நம்பகமான மற்றும் பாதுகாப்பான இணைய தளத்தை உருவாக்குவதற்கு உதவும் ஒரு சேவையாகும். இது பயனர்கள், கணினிகள் மற்றும் சாதனங்கள் உள்ளிட்ட நெட்வொர்க் மற்றும் பயனர்களை அங்கீகரிப்பதற்கும், அணுகல் கட்டுப்பாடு மற்றும் தகவல் மேலாண்மை போன்றவற்றிற்கு பயன்படுத்தப்படுகிறது.","Active Directory Certificate Services is a service that helps you create a trusted and secure web site.It is used for authentication of network and users including users, computers and devices, access control and information management."
active directory federation services,செயல்நிலை   உள்ள கோப்பகம் கூட்டமைப்பு சேவைகள்,செயல்நிலை   உள்ள கோப்பகம் கூட்டமைப்பு சேவைகள் என்பது ஒரு நிறுவனத்தில் உள்ள பல்வேறு கணினிமுறைமை  களை இணைக்கும் ஒரு தொழில்நுட்பம் ஆகும். இது பயனர்கள் ஒரே முறை உள்நுழைவு (ஒரு குறியாக்கப் பெயரையும் கடவுச்சொல்லையும் பயன்படுத்தி) செய்த பின்னர் ஒருங்கிணைக்கப்பட்ட சேவைகள் மற்றும் வளங்களை அணுக அனுமதிக்கிறது.,Active Directory Federation Services is a technology that connects different computer systems in an organization.It allows users to access integrated services and resources after a single login (using an encrypted username and password).
active directory forest recovery,செயல்நிலை   உள்ள கோப்பகம் வன மீட்பு,"செயல்நிலை   உள்ள கோப்பகம் வன மீட்பு என்பது தகவல் தொழில்நுட்ப நிறுவனங்களின் நெட்வொர்க் மேலாண்மை மற்றும் பாதுகாப்புக்காக ஒரு முக்கிய செயல்முறையாகும். கோப்பகம் வன செயலிழந்து போகும் போது, பல பயனர் கணக்குகள், கோப்புகள், மற்றும் பிற முக்கிய தரவுகள் அணுகமுடியாமல் போகும், எனவே இந்த செயல்முறை மூலம் நிறுவனங்கள் தங்கள் தரவுகளை பாதுகாக்க முடியும்.","Active Directory Forest Recovery is a critical process for IT organizations' network management and security.When a directory forest goes down, many user accounts, files, and other sensitive data become inaccessible, so organizations can protect their data through this process."
active directory services,செயல்நிலை   உள்ள கோப்பகம் சேவைகள்,"செயல்நிலை   உள்ள கோப்பகம் சேவைகள் என்பது ஒரு இடைநிலை அளவிலான முதல் பெரிய அளவிலான நிறுவனம் அல்லது நிறுவனங்களின் பயனர்கள், குழுக்கள் மற்றும் கணினிகள் ஆகியவற்றை ஒருங்கிணைக்க உதவும் ஒரு உள் கட்டமைப்பாகும். இது பயனர்கள் அனுமதியின்றி தகவல்களை அணுகுவதை தடுக்க பாதுகாப்புமுறைமை  களை ஏற்படுத்த மற்றும் வழங்குகிறது.","Active Directory Services is an internal framework that helps integrate users, groups, and computers in a medium- to large-sized enterprise or organization.It establishes and provides security systems to prevent users from accessing information without permission."
active directory/domain name system,செயல்நிலை   உள்ள அடைவு/களம் பெயரமைப்புச்முறைமை  ,"செயல்நிலை   உள்ள அடைவு/களம் பெயரமைப்புச்முறைமை என்பது ஒரு வலையமைப்பில்  உள்ள கணினிகள், பயனர்கள் மற்றும் பயன்பாடுகளை மேலாண்மை செய்ய உதவும் ஒரு அமைப்பாகும். இது வலையமைப்பில்  உள்ள பயனர்கள் மற்றும் கணினிகளின் அடையாளத்தை சரிபார்க்க பயன்படுத்தப்படுகிறது.","Active Directory/Domain Name System is a system that helps to manage computers, users and applications on a network.It is used to verify the identity of users and computers on the network."
active security testing,செயல்நிலை   பாதுகாப்பு சோதனை,"செயல்நிலை   பாதுகாப்பு சோதனை என்பது ஒரு கணினி அமைப்பின் பாதுகாப்பை சோதிக்கும் ஒரு முறையாகும், இதில் அமைப்பை தாக்கும் ஒரு பாத்திரம் வகிக்கப்படுகிறது.",Active Security Testing is a method of testing the security of a computer system in which an attacker plays the role of the system.
adaptive security appliance,இணைப்பு பாதுகாப்பு கருவி ,"இணைப்பு பாதுகாப்பு கருவி  என்பது ஒரு நெட்வொர்க் பாதுகாப்பை வழங்கும் ஒரு சாதனம் ஆகும், இது தொடர்ந்து மாறிவரும் அச்சுறுத்தல்களைக் கண்டறிந்து தன்னைத்தானே மேம்படுத்துகிறது.",An Adaptive Security Appliance is an appliance that provides network security that continuously detects and updates itself against changing threats.
additional authenticated data,கூடுதல் அங்கீகரிக்கப்பட்ட தரவு,"கூடுதல் அங்கீகரிக்கப்பட்ட தரவு என்பது ஒரு கணினிமுறைமை அல்லது இணைய யமைப்பில், குறிப்பிட்ட தரவுகள் அல்லது தகவல்களின் அங்கீகரிக்கப்பட்ட  தன்மையை உறுதிப்படுத்த பயன்படும் ஒரு பாதுகாப்பு கூறு ஆகும். இது, குறிப்பாக தரவு அனுப்பும் போது அல்லது சேமிக்கும் போது கூடுதல் பாதுகாப்பு தருகிறது.","Additional Authenticated Data is a security component used to ensure the authenticity of certain data or information in a computer system or network.This provides additional security, especially when transmitting or storing data."
add-on security,கூடுதல் பாதுகாப்பு,கூடுதல் பாதுகாப்பு என்பது ஒரு கணினிமுறைமை அல்லது நெட்வொர்க்கின் பாதுகாப்பை மேம்படுத்துவதற்காக அதன் அடித்தளம் பாதுகாப்புமுறைமை  களுக்கு அதிகப்படியான பாதுகாப்புமுறைமை  களை சேர்ப்பது ஆகும்.,Add-on security is the addition of additional security measures to the basic security measures of a computer system or network to improve its security.
address space layout randomization,முகவரி இடஅமைப்பு சீரமைக்கப்பட்ட ,"முகவரி இடஅமைப்பு சீரமைக்கப்பட்ட  என்பது ஒரு கணினி பாதுகாப்பு நுட்பமாகும், இது நிரல்களின் மின்னணு முகவரிகளை அமைக்கும் முறையை மாற்றியமைக்கிறது, பழுதுகளைப் பயன்படுத்தும் துவாரங்களைக் கண்டறிய ஹேக்கர்களுக்கு சிரமத்தை ஏற்படுத்துகிறது.","Address Space Layout Randomization is a computer security technique that alters the way programs arrange electronic addresses, making it difficult for hackers to find exploit exploits."
adequate security,போதுமான பாதுகாப்பு,போதுமான பாதுகாப்பு என்பது ஒரு அமைப்பின் அல்லது தரவின் மீதான சாத்தியமான தாக்குதல்களை எதிர்கொள்ளும் வகையில் அதன் பாதுகாப்பு செயல்கள்  மற்றும் ஏற்பாடுகள் முறையாக அமைந்திருக்கும் நிலையாகும். இது வெற்று பாதுகாப்பு காட்டிலும் அதிக பாதுகாப்பு செய்ய தேவையான அளவைக் குறிக்கிறது.,Adequate security is the state in which the security measures and arrangements of a system or data are properly designed to deal with possible attacks on it.It indicates the amount required to make more protection than bare protection.
advanced cyber threat,மேம்பட்ட இணைய அச்சுறுத்தல்,மேம்பட்ட இணைய அச்சுறுத்தல் என்பது ஒரு நவீன மற்றும் மிகவும் ஆபத்தான குற்றக் குழுவினால் செய்யப்படும் இணையத் தாக்குதல் ஆகும். இதில் பல தொழில்நுட்பங்கள் பயன்படுத்தப்பட்டு பாதுகாப்புமுறைமை  களை தாக்கி தகவல்களை திருடுவதற்காக செய்யப்படுகிறது.,An advanced cyber threat is a cyber attack carried out by a sophisticated and highly dangerous criminal group.Many technologies are used to attack security systems and steal information.
advanced encryption standard,மேம்பட்ட குறியாக்கத் நிலையான அமைவு,மேம்பட்ட குறியாக்கத் நிலையான அமைவு (AES) என்பது இணைய பாதுகாப்பிற்காக பயன்படுத்தப்படும் ஒரு மிகவும் பாதுகாப்பான குறியாக்க முறையாகும். இது தரவுகளை பாதுகாப்பாக பரிமாற்றம் செய்வதற்கும் சேமிப்பதற்கும் பயன்படுத்தப்படுகிறது.,Advanced Encryption Standard (AES) is a highly secure encryption method used for Internet security.It is used to securely transfer and store data.
advanced encryption standard-cipher block chaining,மேம்பட்ட குறியாக்கம் நிலையான அமைவு-மறையீட்டு தொகுதி தொடரமைவு ,"மேம்பட்ட குறியாக்கம் நிலையான அமைவு-மறையீட்டு தொகுதி தொடரமைவு  என்பது ஒரு முக்கிய குறியாக்க முறையாகும், இது பாதுகாப்பான தரவு பரிமாற்றத்திற்கு பயன்படுத்தப்படுகிறது. இந்த முறையில், தரவு எளிய தொகுதிகுகளாக பிரிக்கப்பட்டு, ஒவ்வொரு தொகுதிகும் தனித்தனியாக குறியாக்கம் செய்யப்படுகிறது.","Advanced Encryption Standard-Cipher Block Chaining is a key encryption method used for secure data transmission.In this method, the data is divided into small blocks and each block is encrypted separately."
advanced encryption standard-cipher-based message authentication code,மேம்பட்ட குறியாக்கம் நிலையான அமைவு மறையீடு  அடித்தளம்யிலான செய்தி அங்கீகார குறியீடு,"மேம்பட்ட குறியாக்கம் நிலையான அமைவு மறையீடு  அடித்தளம்யிலான செய்தி அங்கீகார குறியீடு என்பது ஒரு கணினி செய்தியின் எண்கணித செய்தி நீளத்தையும், பெறுநரின் அடையாளத்தையும் சேர்த்து செய்தி திருடப்படாமல் அல்லது மாற்றப்படாமல் இருப்பதை உறுதியளிக்க உதவுகிறது.",The Advanced Encryption Standard-Cipher-based Message Authentication Code combines the arithmetic message length of a computer message and the recipient's identity to help ensure that the message has not been stolen or altered.
advanced encryption standard-counter mode,மேம்பட்ட குறியாக்க நிலையான அமைவு  எதிர் முறை,"மேம்பட்ட குறியாக்க நிலையான அமைவு  எதிர் முறை என்பது தரவுகளை பாதுகாப்பாக பரிமாறிக் கொள்ளவும், பரிமாறப்படும் தரவுகளை பாதுகாப்பாக சேமிக்கவும் பயன்படும் ஒரு குறியாக்க நுட்பமாகும். இது இணைய த்தளங்களில் பாதுகாப்பான தரவுப் பரிமாற்றத்திற்கு பயன்படுத்தப்படுகிறது.",Advanced Encryption Standard-Counter Mode is an encryption technique used to securely exchange data and securely store the exchanged data.It is used for secure data transfer on websites.
advanced encryption standard-extended cipher block chaining,மேம்பட்ட குறியாக்க நிலையான அமைவு-எக்ஸென்ட் செஃபர் தொகுதி சங்கிலி,"மேம்பட்ட குறியாக்க நிலையான அமைவு-எக்ஸென்ட் செஃபர் தொகுதி சங்கிலி என்பது ஒரு கணினி பாதுகாப்பு அளவீடாகும், இது தரவுகளை பாதுகாப்பாக சேமிக்க மற்றும் பரிமாற்றம் செய்வதற்கு நீட்டிக்கப்பட்ட தொகுதி சங்கிலி முறையை பயன்படுத்துகிறது. இது தரவுகளை பாதுகாப்பாக சேமிக்க ஒரு நிலையான அமைவு  மற்றும் வலுவான குறியாக்க முறையாகும்.",Advanced Encryption Standard-eXtended Cipher Block Chaining is a computer security measure that uses an extended block chaining method to securely store and transmit data.It is a stable and strong encryption method to store data securely.
advanced encryption standard-galois counter mode,மேம்பட்ட குறியாக்கம் ஸ்டாண்டர்ட்-கலோயிஸ் கவுண்டர் பயன்முறை,"மேம்பட்ட குறியாக்கம் ஸ்டாண்டர்ட்-கலோயிஸ் கவுண்டர் பயன்முறை என்பது ஒரு மிகவும் பாதுகாப்பான தரவு பாதுகாப்பு முறையாகும், இது வலிமையான குறியாக்க மற்றும் பாதுகாப்பு தரவை பரிமாற்றத்தின் போது பாதுகாக்கப் பயன்படுத்தப்படுகிறது.",Advanced Encryption Standard-Galois Counter Mode is a highly secure data protection method that uses strong encryption and security to protect data during transmission.
advanced encryption standard-galois message authentication code,மேம்பட்ட குறியாக்கம் நிலையான அமைவு-Galois செய்தி அங்கீகார குறியீடு,"மேம்பட்ட குறியாக்கம் நிலையான அமைவு-Galois செய்தி அங்கீகார குறியீடு என்பது ஏற்கனவே குறியாக்கப்பட்ட தரவுகளை அங்கீகரிப்பதற்கும், குறியாக்கத்தின் உள்ளடக்கத்தை உறுதிப்படுத்துவதற்கும் பயன்படும் ஒரு பாதுகாப்புத் தொகுப்பு ஆகும்.",The Advanced Encryption Standard-Galois Message Authentication Code is a security package used to authenticate data that has already been encrypted and to confirm the content of the encryption.
advanced malware protection,மேம்பட்ட தீய மென்பொருள்  பாதுகாப்பு,"மேம்பட்ட தீய மென்பொருள்  பாதுகாப்பு என்பது ஒரு கணினி அமைப்பை தீங்கு விளைவிக்கக் கூடிய மேம்பட்ட தீய மென்பொருள் களில் இருந்து பாதுகாக்கும் முறையாகும். இது கணினியில் நவீனமான அச்சுறுத்தல்களைக் கண்டறிந்து, அவற்றைச் சரியாகத் தடுக்கும் வல்லமை படைத்தது.",Advanced Malware Protection is a method of protecting a computer system from harmful advanced malware.It has the ability to detect modern threats on the computer and block them properly.
advanced persistent threats,முன்னோட்ட நிலையான மோசடி ,"முன்னோட்ட நிலையான மோசடி  என்பது ஒரு உருப்பொருள்  கணினி இணைய யமைப்புகளில் ஊடுருவி, நீண்ட காலத்திற்கு தகவல்களை சேகரித்து, அப்பரிமாணத்தில் தாக்கமேற்படுத்தும் வன்முறைகளை எடுக்கும் சூழ்ச்சியான இணைய தாக்குதல்கள் ஆகும். இதன் நோக்கம் அதிக மதிப்புடைய தகவல்கள் அல்லது இரகசியங்களை திருடிச் செல்வதாகும்.","Advanced Persistent Threats are tactical cyberattacks that infiltrate an organization's computer networks, collect information over a long period of time, and carry out large-scale, impactful violence.Its purpose is to steal high value information or secrets."
advanced threat protection,மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு,"மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு என்பது கூடுதல் பாதுகாப்பு அடுக்குகளை வழங்கும் ஒரு பாதுகாப்பு தொழில்நுட்பம், இது தொற்றுநோய் மற்றும் மோசமான நிரல்கள் போன்ற பழமையான அச்சுறுத்தல்களை தடுத்தல் மட்டுமல்லாமல், தேவைக்கு மிகவும் சிக்கலான மற்றும் நுணுக்கமான தாக்குதல்களையும் கண்டறியும் மற்றும் தடுக்கும்.","Advanced Threat Protection is a security technology that provides additional layers of protection, not only preventing primitive threats such as malware and malware, but also detecting and blocking more complex and sophisticated attacks on demand."
advanced threat protection: network,மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு இணையம்,"மேம்பட்ட அச்சுறுத்தல் பாதுகாப்பு இணையம் என்பது இணைய யமைப்பை மேம்படுத்தப்பட்ட அச்சுறுத்தல்களில் இருந்து காப்பாற்றுவதற்கான ஒரு செயல்முறையாகும், இதில் மறைக்கப்பட்ட அச்சுறுத்தல்கள் மற்றும் மால்வேர்களைக் கண்டறிதல் மற்றும் அகற்றுதல் ஆகியவை அடங்கும்.","Advanced Threat Protection: Network is a process to protect the network from advanced threats, including detection and removal of hidden threats and malware."
adversary,எதிரி,"கணினி தொழில்நுட்ப உலகில், எதிரி என்பவர் ஒரு நிறுவனம் அல்லது ஒரு தனிநபர், மற்றவர்களின் கணினிமுறைமை  கள் அல்லது நெட்வொர்க்குகளை தாக்கவோ அல்லது நாசம் செய்யவோ முயற்சிக்கிறார். இவர்கள் பாதுகாப்புமுறைமை  களை ஊடுருவுவதற்காக பல்வேறு நுட்பங்களைப் பயன்படுத்துகிறார்கள்.","In the world of computer technology, an adversary is an organization or an individual who attempts to attack or sabotage other people's computer systems or networks.They use various techniques to penetrate security systems."
alert,எச்சரிக்கை,"எச்சரிக்கை என்பது கணினியில் அல்லது அதனுடன் இணைக்கப்பட்ட இணைய த்தளத்தில், சந்தேகத்திற்கு இடமான அல்லது பாதுகாப்புக்கு ஆபத்தான செயல்பாடு தெரிய வந்தால், அதனை அறிவிக்கும் ஒரு செய்தியாகும்.",An alert is a message that notifies you of suspicious or security-threatening activity on a computer or connected website.
algorithm security lifetime,அல்கோரிதம்  பாதுகாப்பு வாழ்நாள்,அல்கோரிதம்  பாதுகாப்பு வாழ்நாள் என்பது ஒரு குறிப்பிட்ட அல்கோரிதம்  பாதுகாப்பாகக் கருதப்படும் கால அளவைக் குறிக்கிறது. இது பொதுவாக ஒரு அல்போரிதத்தின் பாதுகாப்பை உடைக்கக்கூடிய ஒரு வலிமையான தாக்குதல் கண்டுபிடிக்கப்படும் வரையிலான காலத்தைக் குறிக்கிறது.,Algorithm security lifetime refers to the length of time a particular algorithm is considered secure.It usually refers to the time until a strong attack is discovered that can break the security of an algorithm.
